Operation,OldROMPackageName,NewROMPackageName
D,goldnaxb,
D,stridrja,
R,bayroute,bayroute_MAME2003Plus
R,bwing,bwing_MAME2003Plus
R,cninja,cninja_MAME2003Plus
R,cshooter,cshooter_MAME2003Plus
R,cuebrick,cuebrick_MAME2003Plus
R,cupsoc,cupsoc_MAME2003Plus
R,funnymou,funnymou_MAME2003Plus
R,legofair,legofair_MAME2003Plus
R,arkatayt,arktayt2
R,baraduke,aliensec
R,chopperb,legofair
R,slapfigh,slapfighb1
R,1942,1942w
R,1942a,1942b
R,1942b,1942a
R,agallet,agallett
R,airraid,cshootert
R,alcon,slapfigh
R,aliens,aliens4
R,ambush,ambushv
R,ambusht,ambushj
R,arkanoid,arkatayt
R,arlingtn,arlingtna
R,armwar,armwarr1
R,astorm,astormu
R,astorm2p,astormj
R,atetris,atetrisbp
R,avsp,avspd
R,baraduka,baraduke
R,battleg,bgaregga
R,battlega,bgareggacn
R,batwings,bwingso
R,bayrouta,bayroute1
R,berlwalt,berlwallt
R,bzone2,bzonea
R,centiped,centipdd
R,centtime,centiped3
R,choppera,chopperb
R,circusc2,circusc4
R,circusc,circusc2
R,ckong,ckongpt2ss
R,ckongalc,bigkong
R,columns2,column2j
R,contrajb,contraj1
R,cottona,cottonjad
R,crimfgt2,crimfghtu
R,crkdown,crkdownj
R,crush,crushbl3
R,cuebrckj,cuebrickj
R,cupsoc2,cupsocs2
R,cybsled,cybsleda
R,ddp3blk,ddpdojblkb
R,ddragon3,ddragon3p
R,ddsom,ddsomr3
R,ddtod,ddtoda
R,ddtoda,ddtodar1
R,deerhunt,deerhuntd
R,defender,defenderj
R,dino,dinoa
R,dkong,dkonghrd
R,dkongjr,dkongjr2
R,dlair,dleuroalt
R,drgnwrld,drgnwrldv30
R,dw,dynwara
R,enduror,enduror1
R,exctsccr,exctsccru
R,forgottn,forgottnua
R,frogger,froggers3
R,fromanc2,fromanc2o
R,fshark,fsharkb
R,funybubl,funybublc
R,ga2j,ga2u
R,galag88b,galaga88
R,galaga88,galaga88a
R,galaga3,galaga3a
R,galaga3a,galaga3c
R,galpandx,galpanidx
R,gangwarb,gangwarsb
R,gapluso,galaga3
R,gng,gngbl
R,goldnabl,goldnaxeb1
R,goldnaxa,goldnaxe2
R,goldnaxe,goldnaxe3
R,gunsmoka,gunsmokeu
R,gunsmoke,gunsmokeua
R,gunsmoku,gunsmokeub
R,headon,headons
R,hishouza,hishouzab
R,hustler,hustlerb2
R,invasioa,invasiona
R,invasiob,invasionb
R,jrpacmnf,jrpacmanf
R,karatblz,karatblzt
R,klax,klax5bl
R,kovsh,kovsh103
