Operation,OldROMPackageName,NewROMPackageName
D,demonwld4,
D,kinst2k4,
D,raiden2c,
D,smgpu1,
D,wh2j,
R,arlingtn,arlingtna
R,avalon13,avalns13
R,batsugun,batsuguna
R,batsuguna,batsugun
R,daioh,daioha
R,ddp2,ddp2100
R,ddp2a,ddp2
R,demonwld1,demonwld2
R,demonwld2,demonwld3
R,demonwld3,demonwld4
R,dirtdash,dirtdasha
R,doncdoon,kurufev
R,downhill,downhillu
R,fgtlayer,fgtlayerj
R,fromanc2,fromanc2o
R,galpani3,galpani3j
R,gapluso,galaga3
R,gt103asx,gt103asxa
R,gtsers11,gtsers11a
R,jclub2,jclub2v201
R,smgpu3,smgpu1
